SampleID,Crop,Objective,Collection,Compartment,DateSampled,GrowthStage,Treatment,Rep,Sample,Fungicide,Target_organism,Location,Experiment,Year,richness
Corn2017LeafObjective2Collection1T1R1CAH2,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,9
Corn2017LeafObjective2Collection1T1R1CBA3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R1CCB3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R1FAC3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection1T1R1FBD3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R1FCE3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T1R2CAF3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T1R2CBG3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection1T1R2CCH3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R2FAA4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R2FBB4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T1R2FCC4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R5CAD4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R5CBE4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R5CCF4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection1T1R5FAG4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R5FBH4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R5FCA5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R6CAB5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T1R6CBC5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,1
Corn2017LeafObjective2Collection1T1R6CCD5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R6FAE5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,1
Corn2017LeafObjective2Collection1T1R6FBF5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,B,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R6FCG5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,C,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T2R1CAH5,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T2R1CBA6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T2R1CCB6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T2R1FAC6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection1T2R1FBE6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T2R1FCD6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,9
Corn2017LeafObjective2Collection1T2R2CAF6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T2R2CBG6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T2R2CCH6,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T2R2FAA7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection1T2R2FBB7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T2R2FCC7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T2R5CAD7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,9
Corn2017LeafObjective2Collection1T2R5CBE7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,9
Corn2017LeafObjective2Collection1T2R5CCF7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T2R5FAG7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection1T2R5FBH7,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,1
Corn2017LeafObjective2Collection1T2R5FCA8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,12
Corn2017LeafObjective2Collection1T2R6CAB8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection1T2R6CBC8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection1T2R6CCD8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection1T2R6FAE8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T2R6FBF8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,B,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T2R6FCG8,Corn,Objective 2,1,Leaf,6/26/17,V6,No-till,R6,C,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection2T1R1CAC9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,19
Corn2017LeafObjective2Collection2T1R1CBD9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection2T1R1CCE9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T1R1FAH8,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection2T1R1FBA9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection2T1R1FCB9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T1R2CAA10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,14
Corn2017LeafObjective2Collection2T1R2CBC10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection2T1R2CCD10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,14
Corn2017LeafObjective2Collection2T1R2FAF9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection2T1R2FBG9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection2T1R2FCH9,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection2T1R5CAH10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection2T1R5CBA11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection2T1R5CCC11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T1R5FAE10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection2T1R5FBF10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T1R5FCG10,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection2T1R6CAB11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection2T1R6CBG11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection2T1R6CCH11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T1R6FAD11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection2T1R6FBE11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,B,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection2T1R6FCF11,Corn,Objective 2,2,Leaf,7/5/17,V8,Conv.,R6,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T2R1CAD12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T2R1CBE12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,19
Corn2017LeafObjective2Collection2T2R1CCF12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,19
Corn2017LeafObjective2Collection2T2R1FAA12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection2T2R1FBB12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection2T2R1FCC12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T2R2CAB1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,18
Corn2017LeafObjective2Collection2T2R2CBC1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection2T2R2CCD1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection2T2R2FAG12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T2R2FBH12,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection2T2R2FCA1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T2R5CAH1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection2T2R5CBA2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,13
Corn2017LeafObjective2Collection2T2R5CCB2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection2T2R5FAE1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection2T2R5FBF1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection2T2R5FCG1,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T2R6CAF2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection2T2R6CBG2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,13
Corn2017LeafObjective2Collection2T2R6CCH2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,21
Corn2017LeafObjective2Collection2T2R6FAC2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection2T2R6FBD2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,B,F,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection2T2R6FCE2,Corn,Objective 2,2,Leaf,7/5/17,V8,No-till,R6,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection3T1R1CAA3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection3T1R1CBB3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,16
Corn2017LeafObjective2Collection3T1R1CCC3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,12
Corn2017LeafObjective2Collection3T1R1FAD3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection3T1R1FBE3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,14
Corn2017LeafObjective2Collection3T1R1FCF3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection3T1R2CAG3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection3T1R2CBH3,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,12
Corn2017LeafObjective2Collection3T1R2CCA4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,12
Corn2017LeafObjective2Collection3T1R2FAB4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection3T1R2FBC4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,16
Corn2017LeafObjective2Collection3T1R2FCD4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection3T1R5CAE4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,22
Corn2017LeafObjective2Collection3T1R5CBF4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,26
Corn2017LeafObjective2Collection3T1R5CCG4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection3T1R5FAH4,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,23
Corn2017LeafObjective2Collection3T1R5FBA5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection3T1R5FCB5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection3T1R6CAC5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,16
Corn2017LeafObjective2Collection3T1R6CBD5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection3T1R6CCE5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection3T1R6FAF5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection3T1R6FBG5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,B,F,Fungi,Kellogg Biological Station,LTER,2017,12
Corn2017LeafObjective2Collection3T1R6FCH5,Corn,Objective 2,3,Leaf,7/31/17,V15,Conv.,R6,C,F,Fungi,Kellogg Biological Station,LTER,2017,17
Corn2017LeafObjective2Collection3T2R1CAB6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection3T2R1CBC6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,14
Corn2017LeafObjective2Collection3T2R1CCD6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection3T2R1FAE6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,15
Corn2017LeafObjective2Collection3T2R1FBF6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,11
Corn2017LeafObjective2Collection3T2R1FCG6,Corn,Objective 2,3,Leaf,7/31/17,V15,No-till,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,19
